Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
6	7.6	8.7	9.8	10.7	11.6	12.3	13.1	13.9	14.7	15.4	16.1
44	6.2	273.2	274.2	275.1	275.9	276.7	277.4	278.2	278.9	279.6	280.3
0	39.9	41.2	42.4	43.3	44.1	44.8	45.6	46.4	47.2	48.0	48.8
55	4.2	175.7	176.7	177.4	178.1	178.9	179.6	180.3	181.0	181.7	182.4
16	3.7	92.7	93.8	94.5	95.2	95.8	96.4	97.1	97.6	98.1	98.7
25	0.5	347.5	348.5	349.0	349.5	350.0	350.4	350.9	351.3	351.7	352.1
30	0.4	170.4	171.8	172.8	173.6	174.5	175.4	176.2	177.0	177.7	178.4
80	0.2	270.2	270.9	271.5	272.1	272.7	273.2	273.8	274.3	274.8	275.3
74	0.2	364.2	365.2	366.1	366.9	367.7	368.4	369.2	369.9	370.6	371.3
29	0.2	1.5	2.8	3.9	5.0	6.0	6.9	7.9	8.8	9.8	10.7
88	0.0	160.5	161.5	162.4	163.3	164.2	165.0	165.8	166.6	167.4	168.1
82	0.0	461.5	462.2	462.7	463.2	463.7	464.0	464.3	464.7	465.0	465.3
91	0.0	98.0	99.2	100.0	100.8	101.5	102.2	103.0	103.7	104.4	105.1
84	0.0	462.0	462.8	463.6	464.3	465.0	465.6	466.2	466.8	467.3	467.8
89	0.0	171.5	172.5	173.4	174.3	175.1	175.9	176.6	177.4	178.1	178.8
36	0.0	267.0	267.9	268.5	269.1	269.6	270.1	270.6	271.1	271.5	271.9
57	0.0	257.5	258.5	259.6	260.6	261.6	262.5	263.4	264.1	264.9	265.6
68	0.0	355.5	356.4	357.2	358.0	358.9	359.7	360.4	361.2	361.9	362.7
52	0.0	257.5	258.2	258.9	259.6	260.3	261.0	261.6	262.3	263.0	263.5
64	0.0	163.5	164.4	165.3	166.1	166.9	167.8	168.6	169.4	170.1	170.9
