Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
11	21.7	124.8	128.2	130.7	133.0	135.2	137.0	138.8	140.7	142.4	144.1
0	17.2	23.5	28.9	32.3	34.9	37.3	39.7	41.9	44.0	46.0	48.0
1	40.5	47.6	53.3	57.4	60.0	62.5	64.7	66.7	68.6	70.4	72.1
51	13.2	431.2	436.2	440.1	443.9	446.9	449.4	451.9	454.3	456.6	458.8
40	10.7	191.2	194.3	197.3	199.6	201.8	203.8	205.7	207.4	208.9	210.4
33	5.2	11.6	15.9	19.4	21.8	24.1	26.5	28.7	31.0	33.2	35.5
54	5.0	371.5	374.3	376.1	377.3	378.5	379.7	380.8	381.8	382.8	383.8
49	4.0	140.0	146.4	151.3	154.8	157.5	160.3	162.8	165.2	167.6	169.9
18	2.0	42.2	44.7	46.9	48.8	50.5	52.0	53.2	54.3	55.4	56.4
17	2.8	43.0	45.5	47.8	49.6	51.4	52.8	54.2	55.4	56.5	57.6
80	0.0	346.0	349.8	352.8	355.8	358.3	360.8	363.3	365.8	368.2	370.5
31	1.0	41.2	43.7	45.9	47.8	49.5	51.0	52.3	53.6	54.7	55.7
89	0.0	482.2	484.7	486.9	488.8	490.5	492.0	493.3	494.6	495.6	496.7
98	0.0	444.0	450.4	456.2	459.6	462.3	464.9	467.4	469.7	472.0	474.3
81	0.0	276.5	279.2	281.5	283.5	285.5	287.4	289.1	290.8	292.3	293.7
55	0.0	481.0	482.8	484.7	486.2	487.6	488.9	490.3	491.4	492.4	493.4
60	0.0	535.0	538.2	541.0	543.5	545.2	546.8	548.1	549.3	550.6	551.8
72	0.0	219.0	223.0	226.8	230.1	233.1	236.1	239.1	242.1	244.5	246.9
46	0.0	446.5	449.7	451.7	453.2	454.7	456.2	457.2	458.2	459.2	460.2
65	0.0	446.5	449.7	451.7	453.2	454.7	456.2	457.2	458.2	459.2	460.2
