Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
68	0.0	11.0	17.0	21.0	24.0	27.0	30.0	33.0	35.0	37.0	39.0
59	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
70	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
64	0.0	22.0	33.0	39.0	43.0	46.0	49.0	52.0	55.0	57.0	59.0
0	138.0	499.0	782.0	936.0	1044.0	1125.0	1205.0	1285.0	1363.0	1417.0	1471.0
105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
95	0.0	14.5	25.7	31.7	36.2	39.2	42.2	45.2	48.2	50.3	52.3
91	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
100	0.0	22.0	33.0	39.0	43.0	46.0	49.0	52.0	55.0	57.0	59.0
92	0.0	22.0	33.0	39.0	43.0	46.0	49.0	52.0	54.0	56.0	58.0
26	0.0	12.5	23.7	29.7	34.2	37.2	40.2	43.2	45.2	47.3	49.3
81	0.0	23.0	33.0	39.0	43.0	46.0	49.0	52.0	54.0	56.0	58.0
12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
33	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
45	0.0	59.0	78.0	95.0	107.0	116.0	125.0	134.0	143.0	149.0	155.0
31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
48	0.0	396.0	701.0	867.0	983.0	1070.0	1156.0	1242.0	1326.0	1384.0	1442.0
47	0.0	37.0	49.0	58.0	65.0	71.0	77.0	83.0	89.0	93.0	97.0
