Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
1	11.333	16.166	18.833	21.083	23.250	25.083	26.833	28.483	29.983	31.483	32.983	
36	8.366	166.367	168.267	170.167	171.000	171.750	172.500	173.250	174.000	174.750	175.417	
16	35.733	171.733	174.533	177.333	179.667	182.000	184.167	186.167	187.667	189.167	190.500	
24	4.500	219.500	223.000	226.500	228.833	231.167	233.500	235.333	237.167	239.000	240.500	
5	3.166	11.666	17.500	23.000	28.250	32.383	35.366	38.033	40.683	42.633	44.533	
20	1.000	70.000	74.833	77.566	80.300	82.966	85.133	86.966	88.800	90.633	92.466	
77	1.000	219.000	221.342	223.683	225.183	226.683	228.183	229.183	230.183	231.183	232.183	
64	.833	69.833	72.833	75.833	78.666	81.500	83.500	85.233	86.966	88.700	90.366	
80	0	406.000	407.333	408.667	410.000	411.000	411.000	411.000	411.000	411.000	411.000	
76	0	349.000	349.667	350.333	350.619	350.905	350.905	350.905	350.905	350.905	350.905	
97	0	192.000	193.775	195.550	196.950	198.350	199.250	200.150	200.650	201.150	201.650	
73	0	257.000	258.750	260.500	261.667	262.667	263.667	264.667	265.667	266.667	267.467	
89	0	247.000	248.175	249.350	250.350	251.350	252.036	252.721	253.221	253.621	254.021	
96	0	349.000	349.667	350.333	350.619	350.905	350.905	350.905	350.905	350.905	350.905	
99	0	193.000	195.000	197.000	198.333	199.667	200.833	202.000	203.167	204.167	205.167	
26	0	154.000	155.900	157.800	159.242	160.683	161.683	162.683	163.517	164.267	165.017	
58	0	218.000	220.342	222.683	224.183	225.683	227.183	228.183	229.183	230.183	231.183	
67	0	252.000	252.917	253.833	254.708	255.583	256.250	256.917	257.417	257.917	258.167	
71	0	329.000	330.333	331.667	333.000	333.667	334.333	334.750	335.167	335.417	335.667	
3	0	8.500	14.333	19.833	25.083	29.216	32.200	34.866	37.516	39.466	41.366	
