Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7
25	23.750	28.400	31.550	34.550	37.283	39.950	42.483	44.983	
43	20.833	355.833	359.833	363.167	366.167	368.750	371.000	373.000	
0	39.416	42.500	45.583	48.154	50.488	52.488	54.488	56.321	
16	16.000	98.833	104.667	109.333	113.667	117.667	121.250	124.750	
35	13.666	18.316	21.316	24.316	27.150	29.816	32.483	35.016	
56	6.000	224.500	230.083	234.250	237.167	240.000	242.750	245.083	
58	5.000	357.500	359.583	361.583	363.250	364.583	365.583	366.583	
10	4.333	8.983	12.133	15.133	17.966	20.633	23.300	25.833	
95	0	757.500	759.583	761.417	763.250	765.000	766.667	768.333	
79	2.666	7.316	10.800	13.800	16.800	19.633	22.300	24.966	
90	0	391.000	395.917	399.000	401.333	403.667	406.000	407.833	
98	0	402.000	404.917	406.750	408.417	410.083	411.750	413.333	
92	0	512.000	514.667	516.667	518.000	519.333	520.500	521.667	
96	0	613.500	616.167	618.710	621.210	623.376	625.269	626.769	
94	0	342.000	346.000	349.567	352.900	355.900	358.400	360.733	
17	0	82.833	88.666	93.333	97.666	102.000	105.667	109.250	
21	0	127.833	133.167	136.500	139.667	142.667	144.900	147.067	
68	0	852.000	855.250	857.583	859.833	862.083	863.950	865.783	
72	0	340.500	343.833	346.667	349.333	351.917	354.167	356.167	
64	0	391.000	395.917	399.000	401.333	403.667	406.000	407.833	
