Node	k = 0	k = 1	k = 2	k = 3	k = 4	k = 5	k = 6	k = 7	k = 8	k = 9	k = 10
68	0	17.000	21.000	25.000	29.000	32.000	35.000	38.000	41.000	43.000	45.000	
53	0	14.000	18.000	22.000	26.000	29.000	32.000	35.000	38.000	40.000	42.000	
66	0	16.500	25.500	33.500	41.000	48.000	54.250	60.300	66.300	70.633	74.766	
56	0	17.000	21.000	25.000	29.000	32.000	35.000	38.000	41.000	44.000	46.000	
58	0	14.000	18.000	22.000	26.000	29.000	32.000	35.000	38.000	40.000	42.000	
91	0	0	0	0	0	0	0	0	0	0	0	
88	0	17.000	21.000	25.000	28.000	31.000	34.000	37.000	40.000	43.000	45.000	
86	0	8.000	12.833	17.333	20.833	24.000	27.050	30.050	33.050	35.216	37.300	
89	0	8.000	12.000	16.000	19.000	22.000	25.000	28.000	31.000	33.000	35.000	
85	0	4.000	8.000	12.000	15.000	18.000	21.000	24.000	27.000	29.000	31.000	
24	0	19.000	27.000	35.000	42.000	48.000	54.000	60.000	66.000	71.000	75.000	
7	0	262.000	387.500	511.500	634.667	730.750	825.250	918.550	1011.550	1103.550	1168.050	
15	0	0	0	0	0	0	0	0	0	0	0	
4	0	330.500	472.000	612.000	751.000	860.500	965.750	1070.750	1175.750	1279.750	1352.250	
14	0	264.000	388.000	512.000	633.000	729.000	825.000	921.000	1014.000	1106.000	1172.000	
32	0	0	0	0	0	0	0	0	0	0	0	
46	0	230.000	346.000	462.000	575.000	665.000	755.000	845.000	932.000	1018.000	1080.000	
34	0	4.000	8.000	12.000	15.000	18.000	21.000	24.000	27.000	29.000	31.000	
39	0	0	0	0	0	0	0	0	0	0	0	
42	0	0	0	0	0	0	0	0	0	0	0	
